Most common words,Absolute frequency,Relative frequency
trump,24.0,0.04597701149425287
hi,9.0,0.017241379310344827
elect,7.0,0.013409961685823755
presid,6.0,0.011494252873563218
state,6.0,0.011494252873563218
wa,6.0,0.011494252873563218
unit,5.0,0.009578544061302681
school,5.0,0.009578544061302681
mani,5.0,0.009578544061302681
american,4.0,0.007662835249042145
presidenti,4.0,0.007662835249042145
militari,4.0,0.007662835249042145
univers,3.0,0.005747126436781609
estat,3.0,0.005747126436781609
busi,3.0,0.005747126436781609
legal,3.0,0.005747126436781609
action,3.0,0.005747126436781609
polit,3.0,0.005747126436781609
republican,3.0,0.005747126436781609
servic,3.0,0.005747126436781609
polici,3.0,0.005747126436781609
dure,3.0,0.005747126436781609
offici,3.0,0.005747126436781609
obstruct,3.0,0.005747126436781609
januari,3.0,0.005747126436781609
impeach,3.0,0.005747126436781609
hous,3.0,0.005747126436781609
board,3.0,0.005747126436781609
colleg,3.0,0.005747126436781609
donald,2.0,0.0038314176245210726
john,2.0,0.0038314176245210726
born,2.0,0.0038314176245210726
june,2.0,0.0038314176245210726
serv,2.0,0.0038314176245210726
graduat,2.0,0.0038314176245210726
wharton,2.0,0.0038314176245210726
pennsylvania,2.0,0.0038314176245210726
degre,2.0,0.0038314176245210726
becam,2.0,0.0038314176245210726
real,2.0,0.0038314176245210726
build,2.0,0.0038314176245210726
later,2.0,0.0038314176245210726
involv,2.0,0.0038314176245210726
feder,2.0,0.0038314176245210726
includ,2.0,0.0038314176245210726
nomine,2.0,0.0038314176245210726
vote,2.0,0.0038314176245210726
us,2.0,0.0038314176245210726
govern,2.0,0.0038314176245210726
investig,2.0,0.0038314176245210726
robert,2.0,0.0038314176245210726
promot,2.0,0.0038314176245210726
conspiraci,2.0,0.0038314176245210726
made,2.0,0.0038314176245210726
fals,2.0,0.0038314176245210726
charg,2.0,0.0038314176245210726
offic,2.0,0.0038314176245210726
environment,2.0,0.0038314176245210726
attempt,2.0,0.0038314176245210726
tax,2.0,0.0038314176245210726
cut,2.0,0.0038314176245210726
act,2.0,0.0038314176245210726
individu,2.0,0.0038314176245210726
health,2.0,0.0038314176245210726
three,2.0,0.0038314176245210726
trade,2.0,0.0038314176245210726
war,2.0,0.0038314176245210726
agreement,2.0,0.0038314176245210726
