Most common words,DonaldTrump.txt Relative frequency,hillaryClinton.txt Relative frequency,Relative frequency difference
trump,0.04597701149425287,0.0030211480362537764,0.042955863457999094
wa,0.011494252873563218,0.04078549848942598,0.029291245615862764
clinton,0.0019157088122605363,0.028700906344410877,0.02678519753215034
first,0.0019157088122605363,0.021148036253776436,0.0192323274415159
hi,0.017241379310344827,0.0015105740181268882,0.015730805292217938
rodham,0.0,0.00906344410876133,0.00906344410876133
advoc,0.0,0.00906344410876133,0.00906344410876133
chicago,0.0,0.00906344410876133,0.00906344410876133
ladi,0.0,0.0075528700906344415,0.0075528700906344415
elect,0.013409961685823755,0.019637462235649546,0.006227500549825791
militari,0.007662835249042145,0.0015105740181268882,0.0061522612309152565
american,0.007662835249042145,0.0015105740181268882,0.0061522612309152565
year,0.0019157088122605363,0.0075528700906344415,0.005637161278373905
vote,0.0038314176245210726,0.00906344410876133,0.005232026484240258
senat,0.0038314176245210726,0.00906344410876133,0.005232026484240258
secretari,0.0,0.004531722054380665,0.004531722054380665
rais,0.0,0.004531722054380665,0.004531722054380665
law,0.0,0.004531722054380665,0.004531722054380665
arkansa,0.0,0.004531722054380665,0.004531722054380665
femal,0.0,0.004531722054380665,0.004531722054380665
win,0.0,0.004531722054380665,0.004531722054380665
program,0.0,0.004531722054380665,0.004531722054380665
obama,0.0,0.004531722054380665,0.004531722054380665
public,0.0,0.004531722054380665,0.004531722054380665
ridg,0.0,0.004531722054380665,0.004531722054380665
respond,0.0,0.004531722054380665,0.004531722054380665
effort,0.0,0.004531722054380665,0.004531722054380665
mother,0.0,0.004531722054380665,0.004531722054380665
class,0.0,0.004531722054380665,0.004531722054380665
like,0.0,0.004531722054380665,0.004531722054380665
park,0.0,0.004531722054380665,0.004531722054380665
busi,0.005747126436781609,0.0015105740181268882,0.004236552418654721
servic,0.005747126436781609,0.0015105740181268882,0.004236552418654721
univers,0.005747126436781609,0.0015105740181268882,0.004236552418654721
action,0.005747126436781609,0.0015105740181268882,0.004236552418654721
democrat,0.0019157088122605363,0.006042296072507553,0.004126587260247017
famili,0.0019157088122605363,0.006042296072507553,0.004126587260247017
us,0.0038314176245210726,0.0075528700906344415,0.003721452466113369
unit,0.009578544061302681,0.006042296072507553,0.0035362479887951284
south,0.0,0.0030211480362537764,0.0030211480362537764
children,0.0,0.0030211480362537764,0.0030211480362537764
chair,0.0,0.0030211480362537764,0.0030211480362537764
senior,0.0,0.0030211480362537764,0.0030211480362537764
women,0.0,0.0030211480362537764,0.0030211480362537764
follow,0.0,0.0030211480362537764,0.0030211480362537764
move,0.0,0.0030211480362537764,0.0030211480362537764
list,0.0,0.0030211480362537764,0.0030211480362537764
main,0.0,0.0030211480362537764,0.0030211480362537764
girl,0.0,0.0030211480362537764,0.0030211480362537764
particip,0.0,0.0030211480362537764,0.0030211480362537764
independ,0.0,0.0030211480362537764,0.0030211480362537764
gender,0.0,0.0030211480362537764,0.0030211480362537764
issu,0.0,0.0030211480362537764,0.0030211480362537764
scrutini,0.0,0.0030211480362537764,0.0030211480362537764
teacher,0.0,0.0030211480362537764,0.0030211480362537764
