Most common words,Absolute frequency,Relative frequency
wa,27.0,0.04078549848942598
clinton,19.0,0.028700906344410877
first,14.0,0.021148036253776436
elect,13.0,0.019637462235649546
state,9.0,0.013595166163141994
presid,8.0,0.012084592145015106
school,7.0,0.010574018126888218
senat,6.0,0.00906344410876133
presidenti,6.0,0.00906344410876133
vote,6.0,0.00906344410876133
chicago,6.0,0.00906344410876133
rodham,6.0,0.00906344410876133
advoc,6.0,0.00906344410876133
ladi,5.0,0.0075528700906344415
us,5.0,0.0075528700906344415
polit,5.0,0.0075528700906344415
year,5.0,0.0075528700906344415
dure,5.0,0.0075528700906344415
unit,4.0,0.006042296072507553
democrat,4.0,0.006042296072507553
famili,4.0,0.006042296072507553
republican,4.0,0.006042296072507553
serv,3.0,0.004531722054380665
secretari,3.0,0.004531722054380665
obama,3.0,0.004531722054380665
parti,3.0,0.004531722054380665
win,3.0,0.004531722054380665
lost,3.0,0.004531722054380665
elector,3.0,0.004531722054380665
colleg,3.0,0.004531722054380665
rais,3.0,0.004531722054380665
park,3.0,0.004531722054380665
ridg,3.0,0.004531722054380665
law,3.0,0.004531722054380665
arkansa,3.0,0.004531722054380665
two,3.0,0.004531722054380665
femal,3.0,0.004531722054380665
nation,3.0,0.004531722054380665
health,3.0,0.004531722054380665
program,3.0,0.004531722054380665
public,3.0,0.004531722054380665
respond,3.0,0.004531722054380665
effort,3.0,0.004531722054380665
father,3.0,0.004531722054380665
mother,3.0,0.004531722054380665
student,3.0,0.004531722054380665
high,3.0,0.004531722054380665
class,3.0,0.004531722054380665
like,3.0,0.004531722054380665
hillari,2.0,0.0030211480362537764
dian,2.0,0.0030211480362537764
born,2.0,0.0030211480362537764
octob,2.0,0.0030211480362537764
diplomat,2.0,0.0030211480362537764
former,2.0,0.0030211480362537764
lawyer,2.0,0.0030211480362537764
barack,2.0,0.0030211480362537764
new,2.0,0.0030211480362537764
york,2.0,0.0030211480362537764
bill,2.0,0.0030211480362537764
becom,2.0,0.0030211480362537764
nomin,2.0,0.0030211480362537764
major,2.0,0.0030211480362537764
popular,2.0,0.0030211480362537764
donald,2.0,0.0030211480362537764
trump,2.0,0.0030211480362537764
suburb,2.0,0.0030211480362537764
graduat,2.0,0.0030211480362537764
earn,2.0,0.0030211480362537764
yale,2.0,0.0030211480362537764
legal,2.0,0.0030211480362537764
move,2.0,0.0030211480362537764
met,2.0,0.0030211480362537764
