handle,text,truncated,cleaned_text,subjectivity,polarity,sentiment_analysis
HillaryClinton,The question in this election: Who can put the plans into action that will make your life better? https://t.co/XreEY9OicG,False,question election put plans action make life better,0.3,0.3,positive
HillaryClinton,"Last night, Donald Trump said not paying taxes was ""smart."" You know what I call it? Unpatriotic. https://t.co/t0xmBfj7zF",False,last night donald trump said paying taxes smart know call unpatriotic,0.3547619047619048,0.10714285714285714,positive
HillaryClinton,Couldn't be more proud of @HillaryClinton. Her vision and command during last night's debate showed that she's ready to be our next @POTUS.,False,proud hillaryclinton vision command last night debate showed ready next potus,0.39166666666666666,0.25,positive
HillaryClinton,"If we stand together, there's nothing we can't do. 

Make sure you're ready to vote: https://t.co/tTgeqxNqYm https://t.co/Q3Ymbb7UNy",False,stand together nothing make sure ready vote,0.6944444444444444,0.35,positive
HillaryClinton,Both candidates were asked about how they'd confront racial injustice. Only one had a real answer. https://t.co/sjnEokckis,False,candidates asked confront racial injustice one real answer,0.30000000000000004,0.2,positive
realDonaldTrump,"Join me for a 3pm rally - tomorrow at the Mid-America Center in Council Bluffs, Iowa! Tickets:… https://t.co/dfzsbICiXc",True,join rally tomorrow mid america center council bluffs iowa tickets,0.05,-0.05,negative
HillaryClinton,This election is too important to sit out. Go to https://t.co/tTgeqxNqYm and make sure you're registered. #NationalVoterRegistrationDay -H,False,election important sit make sure registered nationalvoterregistrationday,0.9444444444444444,0.45,positive
HillaryClinton,When Donald Trump goes low...register to vote: https://t.co/tTgeqxNqYm https://t.co/DXz9dEwsZS,False,donald trump goes low register vote,0.3,0.0,neutral
realDonaldTrump,"Once again, we will have a government of, by and for the people. Join the MOVEMENT today! https://t.co/lWjYDbPHav https://t.co/uYwJrtZkAe",False,government people join movement today,0.0,0.0,neutral
HillaryClinton,3) Has Trump offered a single proposal to reduce the friction of starting a business. @HillaryClinton has https://t.co/OhFAFEFsUq,False,trump offered single proposal reduce friction starting business hillaryclinton,0.15714285714285714,-0.03571428571428571,negative
HillaryClinton,"The election is just weeks away. Check if you're registered to vote at https://t.co/HcMAh8ljR0, only takes a few cl… https://t.co/H1H7hAA4XM",False,election weeks away check registered vote takes,0.0,0.0,neutral
realDonaldTrump,"On National #VoterRegistrationDay, make sure you're registered to vote so we can #MakeAmericaGreatAgain… https://t.co/0wib6UEZON",False,national voterregistrationday make sure registered vote makeamericagreatagain,0.8888888888888888,0.5,positive
